Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,GATEWAY TECH B,380 McCanna Pkwy,,Burlington,WI,53105,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.6727905,-88.2556,2015-04-23,38977,2015-04-23 07:58:31 UTC,,,,,,,,,NEMA520 J1772
ELEC,NATIONAL GRID,104-160 Blackstone St,,Providence,RI,02905,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8096008,-71.4088529,2015-04-23,53052,2015-04-23 08:28:27 UTC,,,,,,,,,J1772
ELEC,San Francisco General Hospital Garage,2500 24th St,At Potrero Avenue,San Francisco,CA,94110,,415-206-8770,E,,Public,24 hours daily; pay lot,,,,,,3,,,,,200-8,37.753135,-122.404374,2015-01-06,21357,2015-01-06 17:49:31 UTC,LG,,,2002-01-31,,,,,J1772
ELEC,Amazon - Obidos/Rufus,550 Terry Ave N,,Seattle,WA,98109,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,47.62395,-122.33707799999999,2015-04-23,61020,2015-04-23 07:11:40 UTC,,,,,,,,,J1772
ELEC,Classic Cars Nissan,1513 Route 38,,Hainesport,NJ,08036,,609-267-2886,E,,Private,,,,,,,1,,,,,200-8,39.98225,-74.808612,2015-01-06,45677,2015-02-10 18:43:55 UTC,P,,,2012-01-31,,,,,J1772
LPG,U-Haul,2722 N Watkins,,Memphis,TN,38127,,901-353-2051,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,35.199728,-90.007121,2015-01-06,53492,2015-01-06 17:44:04 UTC,P,,,,,,true,,
ELEC,"Walgreens - Clinton, UT #2519",1962 W 1800 N,,Clinton,UT,84041,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,41.1398688,-112.0632572,2015-04-23,43379,2015-04-23 07:34:34 UTC,,,,,,,,,J1772
E85,Speedway #3428,3088 Creekside Dr,,Hamilton,OH,45011,,513-892-1594,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.40818170000001,-84.5066579,2015-03-04,65597,2015-03-04 14:15:12 UTC,P,,,2015-02-10,,,,false,
ELEC,MERCER ISLAND,8236 SE 24TH STREET,,Mercer Island,WA,98040,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,47.5900154,-122.2285461,2015-04-23,43302,2015-04-23 07:42:35 UTC,,,,,,,,,J1772 NEMA520
ELEC,NATIONAL GRID,997 Loudon Rd,,Cohoes,NY,12047,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.770945,-73.753012,2015-04-23,52806,2015-04-23 08:27:43 UTC,,,,,,,,,J1772
BD,East Side Travel Plaza,607 Gateway Dr,,East Grand Forks,MN,56721,,218-773-4345,E,,Public,5am-10pm daily,A Checks Cash D M V,"B20 in summer, B5",,,,,,,,,200-8,47.9375198,-97.0145484,2015-03-04,42479,2015-03-04 01:16:05 UTC,P,,,2008-12-31,,,,,
ELEC,AUTO CLUB GROUP,783 S Orlando Ave,,Winter Park,FL,32789,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,28.5909042,-81.3660965,2015-04-23,42140,2015-04-23 08:07:45 UTC,,,,,,,,,NEMA520 J1772
CNG,Greater Richmond Transit Co,301 E Belt Blvd,,Richmond,VA,23224,,800-920-1166,E,,Private,,,,Q,3600,,,,,,,200-8,37.50673099999999,-77.47908,2015-01-06,53643,2015-04-20 16:44:34 UTC,LG,,,2014-04-15,,HD,,,
ELEC,Ehrlich Nissan,2625 35th Ave,,Greeley,CO,80634,,970-353-5333,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-8,40.3944828,-104.736046,2015-01-06,46537,2015-03-16 20:42:29 UTC,P,,,2012-01-31,,,,,J1772 CHADEMO
ELEC,Outpost Solar - Mines Road,1905 Mines Road,,Pulaski,TN,38478,,888-998-2546,E,,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,10,,,Blink Network,http://www.blinknetwork.com/,GPS,35.210144,-87.054365,2015-04-23,45118,2015-04-23 07:09:15 UTC,,,,,,,,,J1772
CNG,SDG&E - Northern (Carlsbad),602 Cannon Rd,"Exit I-5 at Cannon Rd, west on Cannon, and the station is on the right at the corner of Cannon and Carlsbad",Carlsbad,CA,92008,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,33.1336848,-117.3321232,2015-01-06,942,2015-04-21 18:27:35 UTC,T,,,1996-12-15,,LD,,,
ELEC,CITYZEPHYRHILLS,5335 Eighth St,,Zephyrhills,FL,33542,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,28.2352886,-82.1812439,2015-04-23,43149,2015-04-23 08:10:21 UTC,,,,,,,,,J1772 NEMA520
ELEC,Atlantic Nissan,205 Sunrise Hwy,,West Islip,NY,11795,,631-587-0700,E,,Private,,,,,,,1,,,,,200-8,40.720647,-73.304128,2015-01-06,44211,2015-02-10 18:56:01 UTC,P,,,2011-11-30,,,,,J1772
LPG,U-Haul,157 E 3rd St,"North of Route 220, off of Basin St.",Williamsport,PA,17701,,570-326-5161,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,41.242703,-76.998402,2015-01-06,19302,2015-01-06 17:47:00 UTC,P,,,,,,true,,
ELEC,Dan Wilder Nissan,97 Deer Park Rd,,Port Angeles,WA,98362,,360-452-9268,E,,Private,,,,,,,1,,,,,200-8,48.102884,-123.342597,2015-01-06,44149,2015-02-10 18:27:08 UTC,P,,,2011-03-15,,,,,J1772
LPG,Sierra Propane,447 E Main St,,Springerville,AZ,85938,,928-333-5550,E,,Public,8am-5pm M-F,A Cash D M V,,,,,,,,,,200-8,34.1328336,-109.2809265,2015-01-06,15436,2015-01-06 17:48:01 UTC,P,,,,,,false,,
ELEC,Port of San Diego-Imperial Beach Parking Lot,"3165 Pacific Highway, Palm Avenue & Seacoast Drive",,Imperial Beach,CA,91932,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,32.5839,-117.131718,2015-04-23,49120,2015-04-23 07:10:25 UTC,,,,,,,,,J1772
E85,Western Convenience Store,2387 W 72nd Ave,,Denver,CO,80221,,303-429-5754,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.8276368,-105.0152257,2015-01-06,32406,2015-01-06 17:48:24 UTC,P,,,2007-08-15,,,,false,
E85,Kroger #587,3939 Frankford Rd,At Midway,Dallas,TX,75287,,972-662-1000,E,,Public - Credit card after hours,7am-10pm daily,A Cash D M V,,,,,,,,,,200-8,32.9982319,-96.8460873,2015-01-06,31532,2015-01-06 17:44:09 UTC,P,,,2007-05-15,,,,false,
ELEC,Kroger Store #518,5665 E. Mockingbird,,Dallas,TX,75206,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,32.837337,-96.770536,2015-04-23,47517,2015-04-23 07:08:52 UTC,,,,,,,,,J1772
E85,Marathon - Smart Shop,323 Sagamore Pkwy,,Lafayette,IN,47904,,765-447-3827,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,40.420134,-86.857658,2015-01-06,31672,2015-01-06 17:48:26 UTC,P,,,2007-10-15,,,,false,
E85,Mobil On the Run,1710 N Bishop Ave,,Rolla,MO,65401,,573-364-5404,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,37.9583377,-91.7728715,2015-01-06,27066,2015-01-06 17:46:35 UTC,P,,,2005-03-15,,,,false,
ELEC,15 LLC,"3575 Piedmont Road, Building 15",,Atlanta,GA,30305,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.852522,-84.380658,2015-04-23,51789,2015-04-23 07:11:42 UTC,,,,,,,,,J1772
ELEC,Wayne State University - Parking Structure #4,555 E Canfield,,Detroit,MI,48202,,313-577-1979,E,,Public,Garage business hours,,,,,,1,,,,,GPS,42.3559279,-83.055206,2015-02-03,64731,2015-02-03 18:12:19 UTC,P,,,2014-11-15,,,,,J1772
ELEC,Waikiki Sand Villa,2375 Ala Wai Blvd,In front of hotel lobby,Honolulu,HI,96815,,808-922-4744,E,,Public,24 hours daily; see hotel valet,,,,,,1,,,,,200-8,21.278842,-157.823158,2015-01-06,49009,2015-04-07 14:50:33 UTC,P,,,2012-06-30,,,,,J1772
E85,Holbrook T & C Citgo,5665 Sunrise Hwy,Across from the Ford dealership.,Holbrook,NY,11741,,631-567-0576,E,,Public,24 hours daily,Cash A D M V Voyager Wright_Exp,,,,,,,,,,200-8,40.7683139,-73.071263,2015-01-06,35826,2015-03-31 14:25:39 UTC,P,,,2008-11-01,,,,false,
ELEC,LUNDS FOODS,7201-7223 County Rd 17,,Edina,MN,55435,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,44.8725985,-93.3278919,2015-04-23,65488,2015-04-23 08:34:14 UTC,,,,,,,,,J1772
LPG,Flying J,I-10 Exit 1 Frontage Rd N,I-10 Exit 1,Ehrenberg,AZ,85334,,928-923-9600,E,,Public,24 hours daily,A Checks Cash D M V,,,,,,,,,,GPS,33.60168,-114.523067,2015-03-04,66091,2015-03-04 15:21:38 UTC,P,,,2015-02-15,,,false,,
E85,Watonwan Farmers Service Co,702 E 14th St,,Blue Earth,MN,56013,,507-526-2100,E,,Public - Credit card at all times,24 hours daily,A D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-8,43.630415,-94.09358139999999,2015-03-04,62871,2015-03-04 01:08:10 UTC,P,,,2004-01-01,,,,false,
E85,Thorntons #307,110 W Devon Ave,,Wood Dale,IL,60191,,630-616-0993,E,,Public,24 hours daily,A Cash D M V,,,,,,,,,,200-8,41.992429,-87.980958,2015-01-06,39683,2015-01-06 17:48:16 UTC,P,,,2011-05-01,,,,false,
ELEC,Loyola University - New Orleans,7214 Saint Charles Ave,Located in Pine Street parking lot.,New Orleans,LA,70118,,,E,,Private,"Faculty, student, and visitor use only",,,,,,1,,,,,200-8,29.9371899,-90.1268944,2015-03-04,46855,2015-03-04 01:16:01 UTC,P,,,2011-08-31,,,,,J1772
CNG,Con Edison - College Point Service Center,124-15 31st Ave,"From I-678/Whitestone Expressway, exit at Linden Place, I-678 service road W, right onto 31st Avenue, station at intersection with College Point Boulevard.",Queens,NY,11354,,718-321-4608,E,,Public - Card key at all times,"7am-11pm M-F, 7am-3pm Sat-Sun; call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,GPS,40.7678,-73.845925,2015-02-03,132,2015-02-03 18:06:11 UTC,T,,,1998-01-15,,MD,,,
ELEC,RENAISSANCE TWR,1201 Pacific Ave,,Dallas,TX,75223,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,32.7819816,-96.8019686,2015-04-23,60349,2015-04-23 08:30:20 UTC,,,,,,,,,J1772
ELEC,Piolax,139 Etowah Industrial Court,,Canton,GA,30114,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,4,,,Blink Network,http://www.blinknetwork.com/,GPS,34.2455859,-84.471847,2015-04-23,52365,2015-04-23 07:11:35 UTC,,,,,,,,,J1772
ELEC,Court Street Ford,558 William Latham Sr Dr,,Bourbonnais,IL,60914,,815-939-9600,T,,TEMPORARILY UNAVAILABLE (Public),Dealership business hours,,,,,,1,,,,,200-8,41.161794,-87.885165,2015-01-06,49170,2015-01-06 17:48:36 UTC,P,,,,,,,,J1772
BD,Piedmont Biofuels - Carrboro Public Works,100 Public Works Dr,Highway 54 and Smith Level Road,Carrboro,NC,27510,,919-321-8260,E,,Public - Card key after hours,8:30am-4:30pm M-F; contact station to arrange for card key,Cash M V,B100,,,,,,,,,GPS,35.939414,-79.056994,2015-01-06,27886,2015-01-06 17:46:42 UTC,P,,,2005-09-15,,,,,
CNG,Xcel Energy,1901 E Horsetooth Rd,,Fort Collins,CO,80525,,,E,,Private,,,,Q,3000,,,,,,,200-8,40.536651,-105.042277,2015-04-03,63957,2015-04-03 17:08:39 UTC,T,,,1994-01-14,,LD,,,
ELEC,Roush - Naples,3538 Plover Ave,,Naples,FL,34117,,239-963-1047  ,E,,Public - Card key at all times,24 hours daily; network card required,,,,,,3,,,,,GPS,26.15823,-81.674971,2015-01-06,51257,2015-01-06 17:47:37 UTC,P,,,2013-03-15,,,,,J1772
LPG,U-Haul,75 Division St,,Danbury,CT,06810,,203-794-9435,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",Cash Checks A D M V,,,,,,,,,,200-8,41.391202,-73.458418,2015-04-03,19212,2015-04-03 16:57:59 UTC,P,,,,,,true,,
ELEC,Brown & Howell LLC Sunbrite Corner,1590 E Bethany Home Road,,Phoenix,AZ,85014,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinknetwork.com/,GPS,33.5239431,-112.0478898,2015-04-23,45222,2015-04-23 07:09:32 UTC,,,,,,,,,J1772
ELEC,KCP&L,301 NE Rice Rd @ HyVee,,Lee's Summit,MO,64086,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.9190971,-94.3606061,2015-04-23,66656,2015-04-23 08:38:22 UTC,,,,,,,,,J1772COMBO
ELEC,Ken Ganley Nissan,5180 Montville Dr,,Medina,OH,44256,,330-721-0500,E,,Private,,,,,,,1,,,,,200-8,41.134257,-81.793779,2015-01-06,45749,2015-02-10 18:44:34 UTC,P,,,2012-01-31,,,,,J1772
ELEC,KIRKLAND,348 Kirkland Ave,,Kirkland,WA,98033,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,47.6757469,-122.2029724,2015-04-23,57447,2015-04-23 08:12:22 UTC,,,,,,,,,J1772 NEMA520
LPG,Blossman Gas Inc,102 Mississippi Dr,On Highway 45 just south of town,Waynesboro,MS,39367,,601-735-2522,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",A Cash D M V,,,,,,,,,,200-8,31.6639264,-88.6283224,2015-01-06,13792,2015-01-06 17:46:28 UTC,P,,,,,,false,,
LPG,Ferrellgas,310 Morrow Rd,,Sand Springs,OK,74063,,918-245-6617,E,,Public,8am-5pm M-F,Checks Cash D M V,,,,,,,,,,200-8,36.1336046,-96.1179891,2015-01-06,53142,2015-01-06 17:47:11 UTC,P,,,,,,false,,
ELEC,Honda Motorwerks,500 4th St,Located on the west side of the building.,LaCrosse,WI,54601,,608-784-9280,E,,Public,24 hours daily,,,,,,1,,,,,200-8,43.808262,-91.252255,2015-01-06,53703,2015-01-06 17:48:20 UTC,P,,,2013-11-20,,,,,J1772
LPG,Ron's Car Care & Propane Services,1241 E Central Ave,,Miamisburg,OH,45342,,937-866-4925,E,,Public,7am-6:30pm M-F,A Cash D GasCard M V,,,,,,,,,,200-8,39.6403804,-84.2657791,2015-03-04,61905,2015-03-04 01:15:39 UTC,P,,,,,,false,,
ELEC,AMERICAN UNIV,4400 Massachusetts Ave NW,,Washington,DC,20016,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.9392128,-77.0867615,2015-04-23,64553,2015-04-23 08:02:37 UTC,,,,,,,,,NEMA520 J1772
ELEC,SCANSOURCE,6 Logue Ct,,Greenville,SC,29615,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,34.8554115,-82.2476654,2015-04-23,37058,2015-04-23 07:59:08 UTC,,,,,,,,,NEMA520 J1772
E85,Holiday Stationstore #3558,241 US Highway 8,,Almena,WI,54805,,715-357-3957,E,,Public - Credit card after hours,5:30am-10pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,45.4096385,-92.0345747,2015-01-06,33294,2015-01-06 17:48:28 UTC,P,,,2008-08-15,,,,false,
E85,Meijer Gas #253,7149 E Saginaw St,,East Lansing,MI,48823,,517-885-9029,E,,Public,24 hours daily,A Checks Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,42.7704045,-84.41940149999999,2015-01-06,44858,2015-01-06 17:45:28 UTC,P,,,2012-04-19,,,,false,
ELEC,NRG eVgo - Whole Foods Market,1550 N Kingsbury St,,Chicago,IL,60642,,877-455-3833,E,,Public - Card key at all times,24 hours daily; eVgo network subscription and key fob required,,,,,,,1,,eVgo Network,https://www.evgonetwork.com/,GPS,41.908643,-87.653248,2015-01-06,64639,2015-04-20 18:05:55 UTC,P,,,2014-11-17,,,,,CHADEMO
E85,Kroger Fuel Center #355,3760 Paxton Ave,,Cincinnati,OH,45209,,513-871-4142,E,,Public - Credit card after hours,7am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.1472063,-84.427089,2015-03-04,31247,2015-03-04 15:22:01 UTC,P,,,2007-02-15,,,,false,
E85,Suzy-Q's Fast Stop,202 Emminga Rd,Emminga Road and Hanna Street,Golden,IL,62339,,217-696-2777,E,,Public,5:30am-9:30pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,40.108233,-91.028344,2015-01-06,31159,2015-01-06 17:48:29 UTC,P,,,2007-01-01,,,,false,
LPG,AmeriGas,1118 E 5th St,5th and K St.,Hawthorne,NV,89415,,775-945-3335,E,,Public - Call ahead,8am-5pm M-F,A Cash D M V,,,,,,,,,,200-8,38.5244559,-118.6169775,2015-01-06,29195,2015-01-06 17:47:50 UTC,P,,,,,,false,,
ELEC,Round Rock Nissan,3050 N IH-35,,Round Rock,TX,78681,,512-244-8500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,GPS,30.54205,-97.69265,2015-01-06,39748,2015-02-10 18:51:21 UTC,P,,,2011-03-15,,,,,J1772
ELEC,Grapevine Recreational Area,Daltons Drive,,Grapevine,TX,76051,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,32.979103,-97.054467,2015-04-23,50897,2015-04-23 07:14:16 UTC,,,,,,,,,J1772
E85,Kwik Trip #662,3145 Dodd Rd,Highways 149 and 55,Eagan,MN,55121,,651-405-8543,E,,Public,24 hours daily,Cash Checks A D M V FuelMan Voyager Wright_Exp,,,,,,,,,,200-8,44.84365589999999,-93.1234825,2015-01-06,18988,2015-03-23 20:46:59 UTC,P,,,2000-03-15,,,,false,
ELEC,Roberts Motors,4350 N Alby St,,Alton,IL,62002,,618-466-7220,E,,Public,24 hours daily,,,,,,1,,,,,200-8,38.9217295,-90.1795597,2015-01-06,51747,2015-01-06 17:48:21 UTC,P,,,2013-03-01,,,,,J1772
CNG,AMP Americas,1606 Exchange Pkwy,,Waco,TX,76712,,312-300-6700,E,,Public - Credit card at all times,24 hours daily; Also accepts AMP Americas Fueling Card,A D M V FuelMan Voyager Wright_Exp Comdata EFS Trillium,,Q,3600,,,,,,,200-8,31.50088349999999,-97.17341730000001,2015-03-04,52214,2015-04-03 21:04:01 UTC,P,,,2014-07-09,,HD,,,
BD,Propel Fuels - 76,1850 E Holt Blvd,,Ontario,CA,91761,,909-467-1809,E,,Public - Credit card at all times,24 hours daily; Also accept Propel CleanDrive fleet card,A D M V FuelMan Voyager Wright_Exp,B20,,,,,,,,,200-8,34.0631733,-117.6113105,2015-01-06,47982,2015-04-15 14:13:53 UTC,P,,,2013-01-15,,,,,
ELEC,Lafontaine Nissan,2530 E Highland Rd,,Highland,MI,48356,,248-887-8900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,42.652932,-83.580487,2015-01-06,49836,2015-02-10 18:49:36 UTC,P,,,2012-10-25,,,,,J1772
CNG,Waste Management - Gaithersburg Hauling,8101 Beechcraft Ave,,Gaithersburg,MD,20879,,800-331-3441,P,2015-08-01,PLANNED - not yet accessible (Private - Fleet customers only),,,,T,3600,,,,,,,200-8,39.165982,-77.16516899999999,2015-04-03,64005,2015-04-03 17:07:41 UTC,P,,,,,HD,,,
LPG,Ferrellgas,1313 Eisenhower Rd,,Norfolk,NE,68701,,402-895-2344,E,,Public - Call ahead,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,42.0616543,-97.4269508,2015-04-03,46868,2015-04-03 17:04:15 UTC,P,,,,,,false,,
ELEC,San Joaquin Valley Air Pollution Control District,1990 E Gettysburg Ave,,Fresno,CA,93726,,559-230-6000,E,,Public,7:30am-5:30pm M-F,,,,,,2,,,,,GPS,36.801411,-119.7881,2015-01-06,49119,2015-01-06 17:47:45 UTC,P,,,2012-07-17,,,,,J1772
ELEC,Nemet Motors,153-03 Hillside Ave,,Jamaica,NY,11432,,718-523-5858,E,,Private,,,,,,,1,,,,,200-8,40.7075168,-73.8045108,2015-01-06,44343,2015-02-10 18:48:15 UTC,P,,,2011-11-30,,,,,J1772
ELEC,Mesa Main Library,64 E. 1st Street,,Mesa,AZ,85201,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinknetwork.com/,GPS,33.417273,-111.830484,2015-04-23,49971,2015-04-23 07:14:31 UTC,,,,,,,,,J1772
ELEC,Napleton Nissan,1301 Indianapolis Blvd,,Schererville,IN,46375,,219-865-3800,E,,Private,,,,,,,1,,,,,200-8,41.4976735,-87.4709712,2015-01-06,47162,2015-02-10 18:44:59 UTC,P,,,2012-01-31,,,,,J1772
ELEC,Nissan of Oakland,2735 Broadway,,Oakland,CA,94611,,510-588-2200,E,,Private,,,,,,,1,1,,,,GPS,37.820419,-122.261344,2015-01-06,60337,2015-02-10 18:28:23 UTC,P,,,2012-01-31,,,,,J1772 CHADEMO
